cart_item_id,cart_id,product_id,quantity,created_at,updated_at
1,576,262,78,2021-01-26 14:39:31,2022-08-20 16:45:42
2,735,108,73,2021-06-05 16:50:21,2022-12-13 09:55:08
3,493,176,1,2021-01-31 09:33:45,2022-03-01 10:06:54
4,201,131,38,2021-07-12 17:33:42,2022-08-01 12:21:08
5,877,45,9,2021-08-02 08:07:47,2022-11-03 23:49:06
6,673,196,77,2021-11-15 13:52:05,2022-07-14 19:26:16
7,214,52,41,2021-12-02 06:49:43,2022-12-25 20:45:46
8,705,121,95,2021-11-12 04:09:06,2022-09-17 16:46:31
9,487,499,53,2021-02-06 03:51:46,2022-11-12 04:40:22
10,294,266,50,2021-10-19 16:13:32,2022-04-12 16:08:33
11,326,473,7,2021-08-01 13:42:37,2022-10-08 23:04:53
12,809,369,47,2021-02-06 13:42:39,2022-07-16 07:59:15
13,460,5,60,2021-03-09 19:11:02,2022-05-02 01:57:34
14,617,144,37,2021-07-17 17:52:48,2022-09-10 10:57:42
15,950,378,61,2021-02-21 00:42:13,2022-10-28 00:12:33
16,321,185,3,2021-05-22 21:53:54,2022-02-11 20:01:49
17,395,484,99,2021-03-27 05:33:51,2022-10-15 03:15:33
18,218,423,72,2021-08-17 05:09:05,2022-09-14 22:29:52
19,967,211,71,2021-07-31 05:40:37,2022-07-04 22:36:21
20,373,343,25,2021-06-05 17:11:10,2022-02-09 15:46:40
21,482,83,75,2021-10-10 12:24:59,2022-03-05 06:19:16
22,315,307,21,2021-07-09 19:42:53,2022-03-31 13:21:27
23,416,181,19,2021-01-08 05:59:25,2022-09-29 20:10:40
24,665,355,51,2021-06-03 07:32:03,2022-11-17 21:49:38
25,29,149,8,2021-11-23 04:30:25,2022-07-25 06:34:54
26,573,477,78,2021-08-26 23:57:58,2022-11-16 06:50:53
27,468,364,82,2021-02-17 17:12:13,2022-06-11 01:41:34
28,494,117,37,2021-02-21 18:02:03,2022-06-20 13:31:27
29,925,166,24,2021-01-22 13:06:01,2022-07-23 06:44:26
30,221,431,40,2021-03-19 10:40:23,2022-05-11 18:20:20
31,752,433,37,2021-01-16 23:27:58,2022-11-28 01:50:23
32,612,265,99,2021-05-12 03:35:04,2022-08-25 15:04:45
33,652,82,67,2021-07-08 15:52:01,2022-01-09 21:35:12
34,511,220,41,2021-08-18 22:03:52,2022-10-09 10:44:30
35,476,281,47,2021-09-18 13:21:26,2022-11-20 04:46:30
36,802,176,66,2021-06-02 03:37:52,2022-05-31 23:12:10
37,205,162,89,2021-02-07 07:38:35,2022-09-29 08:57:34
38,687,62,30,2021-06-28 12:06:46,2022-11-05 05:06:10
39,427,13,58,2021-05-30 06:01:55,2022-10-22 15:31:47
40,185,367,97,2021-01-19 08:17:31,2022-08-26 11:08:29
41,28,382,65,2021-08-22 00:22:47,2022-03-04 12:58:32
42,360,131,36,2021-11-21 08:37:54,2022-02-07 12:55:29
43,617,287,58,2021-11-03 04:02:43,2022-12-01 04:57:43
44,427,153,11,2021-10-12 17:09:44,2022-12-04 14:13:59
45,23,307,10,2021-10-19 11:21:57,2022-11-25 19:13:28
46,815,381,30,2021-09-23 21:36:57,2022-05-21 19:32:48
47,183,75,99,2021-02-19 11:45:46,2022-06-11 00:05:52
48,851,422,19,2021-12-10 10:32:45,2022-08-10 16:18:31
49,132,225,30,2021-01-09 05:35:04,2022-02-19 23:51:27
50,763,273,15,2021-05-26 12:53:40,2022-06-16 00:01:20
51,565,421,49,2021-06-21 02:40:46,2022-11-08 23:16:05
52,304,99,45,2021-07-26 21:04:03,2022-09-08 10:58:14
53,571,486,94,2021-07-08 15:59:45,2022-11-29 16:58:38
54,152,37,82,2021-08-03 12:19:23,2022-02-08 11:23:04
55,518,488,97,2021-10-19 22:41:54,2022-04-21 00:18:38
56,34,327,78,2021-07-17 08:23:30,2022-12-15 02:42:53
57,472,141,74,2021-09-17 09:34:26,2022-01-21 07:33:12
58,616,259,12,2021-09-04 12:17:19,2022-03-16 19:26:03
59,521,16,59,2021-01-05 08:04:12,2022-09-20 17:02:56
60,214,411,7,2021-12-24 12:47:18,2022-12-23 02:14:05
61,120,146,38,2021-02-24 02:15:40,2022-10-10 01:29:51
62,688,339,26,2021-03-18 13:38:45,2022-11-24 20:19:14
63,827,471,21,2021-03-12 16:43:43,2022-01-23 01:57:10
64,626,191,71,2021-08-20 05:01:21,2022-05-07 20:53:47
65,576,277,93,2021-03-03 14:40:35,2022-06-06 02:42:19
66,324,31,98,2021-03-24 11:32:28,2022-12-06 23:25:40
67,751,92,92,2021-02-02 10:24:26,2022-12-16 07:17:40
68,966,40,100,2021-10-04 12:59:19,2022-03-01 17:32:29
69,832,266,56,2021-09-28 12:35:40,2022-01-14 06:27:22
70,250,47,97,2021-05-12 05:44:37,2022-02-11 18:25:51
71,900,53,35,2021-06-07 09:20:03,2022-09-24 00:05:46
72,646,235,100,2021-08-14 04:54:15,2022-03-01 19:57:04
73,450,337,38,2021-07-24 03:02:38,2022-05-03 09:16:56
74,612,173,76,2021-06-12 18:00:03,2022-12-13 00:49:03
75,603,494,86,2021-06-13 20:12:21,2022-01-14 10:02:02
76,773,1,2,2021-09-25 09:52:24,2022-09-05 17:22:44
77,617,125,62,2021-11-25 06:38:44,2022-01-19 06:22:41
78,759,251,18,2021-12-01 23:49:58,2022-08-08 03:29:56
79,39,194,54,2021-09-11 04:31:40,2022-04-26 08:00:30
80,460,260,69,2021-05-16 02:16:59,2022-11-19 08:15:26
81,977,104,99,2021-06-19 03:28:30,2022-02-15 02:49:49
82,986,74,26,2021-09-08 16:34:30,2022-03-09 16:01:29
83,436,217,89,2021-03-05 22:37:46,2022-10-20 01:10:26
84,37,334,16,2021-10-02 18:02:33,2022-06-08 02:44:12
85,732,417,80,2021-01-31 10:52:21,2022-08-25 07:22:10
86,22,297,22,2021-01-07 13:51:34,2022-09-03 00:36:10
87,802,315,37,2021-05-10 01:34:01,2022-01-28 00:03:05
88,789,148,81,2021-11-11 23:23:18,2022-09-30 01:18:15
89,662,423,22,2021-09-15 19:53:17,2022-04-07 12:10:46
90,676,404,49,2021-11-13 08:13:53,2022-04-25 14:55:31
91,599,289,26,2021-12-25 04:01:30,2022-04-06 04:25:39
92,803,131,7,2021-02-25 18:06:29,2022-09-30 12:05:26
93,219,62,84,2021-02-26 14:11:35,2022-09-10 08:45:49
94,28,177,29,2021-08-24 19:28:05,2022-02-21 16:37:07
95,914,252,87,2021-11-11 14:54:36,2022-01-31 01:42:06
96,252,344,10,2021-05-03 19:04:06,2022-10-05 09:48:09
97,969,414,97,2021-07-20 23:58:39,2022-03-29 05:01:11
98,368,64,88,2021-12-05 15:16:13,2022-10-27 08:35:49
99,435,407,68,2021-04-16 10:08:52,2022-08-04 18:32:25
100,515,191,95,2021-08-06 01:13:24,2022-01-03 02:25:30
101,124,193,38,2021-05-24 16:58:14,2022-12-10 22:52:15
102,819,316,60,2021-07-30 12:40:57,2022-05-06 15:58:30
103,294,276,3,2021-04-17 11:22:04,2022-10-01 06:27:16
104,470,321,6,2021-06-17 08:33:25,2022-07-16 09:02:51
105,472,343,91,2021-10-11 21:15:40,2022-06-05 07:31:09
106,467,136,79,2021-03-14 00:56:22,2022-12-14 23:08:04
107,902,338,20,2021-02-08 22:14:46,2022-07-18 21:36:16
108,226,254,68,2021-05-09 23:19:11,2022-09-19 11:29:10
109,837,36,83,2021-12-15 22:12:42,2022-08-02 01:27:21
110,427,446,83,2021-03-15 21:28:48,2022-01-03 21:02:34
111,655,313,78,2021-07-13 20:03:58,2022-04-11 04:30:48
112,452,361,44,2021-05-21 19:18:26,2022-12-01 03:56:39
113,410,317,33,2021-11-14 20:03:34,2022-02-17 04:11:23
114,320,195,31,2021-09-14 02:44:56,2022-02-04 00:04:33
115,957,301,6,2021-05-15 09:15:32,2022-12-13 05:55:10
116,410,488,25,2021-02-22 06:46:40,2022-08-14 19:42:20
117,214,349,8,2021-11-25 12:38:16,2022-11-29 18:15:45
118,396,226,22,2021-11-04 00:30:09,2022-07-02 12:24:38
119,769,104,82,2021-04-29 08:28:30,2022-07-18 06:53:49
120,21,378,23,2021-01-19 06:12:15,2022-12-22 07:02:44
121,143,44,41,2021-07-30 23:39:08,2022-12-18 01:32:47
122,241,15,33,2021-11-27 23:47:10,2022-12-01 01:00:22
123,939,339,51,2021-02-07 23:52:41,2022-09-02 23:42:48
124,869,202,1,2021-06-12 13:29:44,2022-05-01 16:58:27
125,734,5,36,2021-04-08 03:31:23,2022-01-09 05:12:16
126,10,491,87,2021-06-03 19:56:54,2022-10-09 19:08:55
127,891,406,1,2021-08-17 00:07:03,2022-10-19 07:23:07
128,655,55,95,2021-08-28 16:05:46,2022-01-04 05:54:53
129,450,79,59,2021-01-01 20:01:54,2022-11-16 19:34:24
130,912,127,24,2021-07-19 19:17:53,2022-12-30 12:45:42
131,131,221,75,2021-08-08 19:35:36,2022-02-16 18:41:48
132,407,50,68,2021-04-29 12:18:30,2022-11-06 04:39:41
133,470,85,98,2021-12-02 21:07:10,2022-05-19 11:02:13
134,903,48,82,2021-03-02 21:45:39,2022-09-30 23:42:55
135,253,498,54,2021-12-01 22:56:31,2022-12-18 00:55:13
136,298,435,37,2021-12-23 04:29:02,2022-10-17 02:27:48
137,411,379,34,2021-05-04 14:05:00,2022-07-11 17:33:44
138,842,36,96,2021-03-04 04:48:29,2022-11-08 11:35:39
139,812,458,3,2021-06-13 02:24:52,2022-03-02 22:51:11
140,971,153,86,2021-05-10 08:10:24,2022-05-22 10:12:43
141,660,265,22,2021-11-13 07:47:32,2022-01-29 16:12:55
142,985,210,83,2021-11-07 14:16:23,2022-05-03 02:47:17
143,851,323,76,2021-07-05 15:12:40,2022-06-08 13:58:52
144,807,394,70,2021-06-07 17:09:36,2022-05-22 04:03:47
145,663,223,74,2021-09-06 00:55:53,2022-09-14 05:04:54
146,193,233,59,2021-06-04 07:49:21,2022-06-30 02:29:07
147,975,113,70,2021-01-26 08:24:23,2022-06-20 04:12:44
148,986,194,55,2021-06-22 08:54:21,2022-04-05 17:54:55
149,790,413,57,2021-07-19 21:02:17,2022-06-03 02:05:59
150,42,499,56,2021-12-19 07:23:52,2022-09-22 17:21:40
151,935,462,28,2021-04-28 07:21:01,2022-02-21 15:12:06
152,70,241,75,2021-08-05 12:27:28,2022-12-03 04:20:03
153,380,351,23,2021-05-04 19:17:15,2022-07-11 06:43:05
154,267,95,60,2021-04-16 16:47:49,2022-06-18 04:11:06
155,463,481,49,2021-07-01 01:38:20,2022-08-30 04:52:43
156,808,183,8,2021-04-14 01:29:09,2022-02-14 16:46:00
157,447,104,66,2021-03-26 23:24:10,2022-09-03 23:58:53
158,742,357,46,2021-05-05 15:39:38,2022-02-26 07:35:11
159,94,93,79,2021-02-13 20:30:39,2022-08-15 10:03:55
160,586,482,86,2021-03-19 05:56:09,2022-09-10 12:37:11
161,32,138,66,2021-12-15 17:22:57,2022-10-16 11:12:14
162,603,209,39,2021-06-15 22:35:01,2022-10-24 23:23:44
163,853,112,35,2021-06-01 06:31:44,2022-01-25 20:34:03
164,867,487,58,2021-03-21 02:45:58,2022-02-16 06:27:04
165,483,131,4,2021-06-14 16:47:13,2022-06-13 12:26:19
166,831,407,18,2021-06-25 19:13:06,2022-08-08 04:38:20
167,836,194,51,2021-09-30 11:26:23,2022-07-27 18:08:41
168,658,364,89,2021-03-22 21:49:06,2022-03-11 07:50:37
169,158,393,45,2021-11-12 11:01:30,2022-01-07 23:20:36
170,586,212,87,2021-04-25 10:52:12,2022-01-17 08:05:22
171,708,466,60,2021-04-14 23:23:23,2022-01-27 03:44:40
172,595,81,46,2021-07-17 23:01:21,2022-08-27 01:00:02
173,574,113,8,2021-01-18 11:39:10,2022-02-09 22:09:46
174,763,464,93,2021-01-31 07:14:01,2022-11-09 09:45:05
175,486,444,53,2021-03-19 20:44:12,2022-12-23 21:05:40
176,227,357,57,2021-05-22 23:02:54,2022-08-14 07:27:40
177,944,48,75,2021-10-30 02:16:32,2022-01-23 07:01:34
178,109,14,66,2021-10-29 07:38:11,2022-05-10 19:00:20
179,471,462,49,2021-02-20 20:20:58,2022-02-07 01:04:11
180,997,453,23,2021-03-01 21:30:12,2022-05-01 12:41:06
181,675,436,82,2021-10-28 16:13:55,2022-02-27 21:13:51
182,863,434,34,2021-09-27 14:51:36,2022-06-15 15:18:36
183,479,278,15,2021-03-28 22:49:51,2022-06-08 03:29:44
184,867,202,75,2021-11-27 07:59:43,2022-11-04 03:17:22
185,298,149,41,2021-07-22 17:14:30,2022-01-03 01:40:56
186,153,47,1,2021-03-28 06:06:04,2022-09-26 18:22:14
187,967,468,40,2021-06-23 20:03:50,2022-11-20 15:37:34
188,801,178,16,2021-04-02 00:16:09,2022-11-05 16:39:08
189,262,477,26,2021-12-30 19:52:17,2022-10-11 13:45:55
190,931,308,25,2021-07-16 13:27:47,2022-04-19 01:33:07
191,259,188,71,2021-11-12 06:43:08,2022-09-29 10:12:46
192,365,170,60,2021-02-18 20:54:11,2022-10-05 08:27:08
193,452,289,3,2021-12-26 18:23:48,2022-11-14 19:48:05
194,739,235,17,2021-10-15 00:02:37,2022-03-24 23:02:39
195,167,256,82,2021-05-18 07:36:37,2022-10-29 15:30:17
196,771,170,5,2021-10-10 02:04:06,2022-05-10 22:22:25
197,280,86,66,2021-03-20 06:02:03,2022-10-11 04:48:47
198,612,263,33,2021-10-11 11:52:14,2022-04-12 13:28:21
199,522,43,33,2021-06-23 12:22:10,2022-01-01 11:59:57
200,719,357,38,2021-09-23 19:00:01,2022-10-19 05:09:16
201,918,148,21,2021-07-31 01:13:13,2022-12-13 10:03:17
202,212,441,22,2021-06-05 01:05:27,2022-02-03 18:11:29
203,959,270,37,2021-11-16 10:51:59,2022-04-15 21:31:21
204,173,100,22,2021-04-25 21:37:00,2022-02-03 20:58:50
205,491,409,30,2021-06-04 12:10:06,2022-01-12 11:51:00
206,510,394,84,2021-03-02 23:20:37,2022-10-28 19:01:02
207,948,53,13,2021-06-18 20:14:42,2022-06-02 19:53:13
208,838,141,96,2021-06-04 19:34:20,2022-04-17 05:35:18
209,859,220,13,2021-11-10 00:44:54,2022-03-25 21:21:47
210,408,238,38,2021-09-27 23:23:27,2022-09-08 09:13:41
211,746,39,24,2021-11-20 10:03:23,2022-03-31 19:32:55
212,997,399,35,2021-05-28 06:23:48,2022-11-20 22:40:10
213,195,295,53,2021-04-27 09:28:59,2022-01-23 01:27:42
214,179,173,27,2021-07-03 14:35:58,2022-09-25 21:31:23
215,512,451,55,2021-06-14 15:51:48,2022-06-12 16:08:35
216,418,352,62,2021-01-16 06:14:26,2022-03-14 05:09:15
217,140,442,49,2021-05-30 02:57:43,2022-04-23 16:25:48
218,590,294,27,2021-04-18 02:20:41,2022-02-14 23:46:21
219,223,441,31,2021-12-18 04:19:02,2022-01-25 08:50:39
220,919,115,1,2021-07-17 01:12:39,2022-07-07 09:13:43
221,7,185,25,2021-11-17 18:58:50,2022-12-03 18:16:03
222,86,211,89,2021-02-17 17:13:34,2022-08-21 15:38:41
223,631,213,5,2021-04-11 05:32:24,2022-01-29 01:30:46
224,996,302,25,2021-03-18 07:00:57,2022-07-14 03:38:21
225,639,122,61,2021-07-03 11:46:09,2022-07-01 13:08:48
226,71,405,100,2021-03-12 23:36:36,2022-05-22 19:47:37
227,818,59,52,2021-03-31 05:20:24,2022-07-17 08:42:19
228,828,117,38,2021-03-14 16:00:21,2022-08-22 03:58:10
229,860,237,50,2021-07-23 19:44:27,2022-12-17 12:24:13
230,394,99,66,2021-07-01 02:22:31,2022-02-01 12:10:13
231,650,385,6,2021-08-05 02:20:20,2022-06-17 18:47:18
232,333,153,98,2021-11-27 15:49:24,2022-10-07 22:26:15
233,827,416,59,2021-03-15 23:43:00,2022-01-11 01:57:42
234,499,148,37,2021-03-12 08:52:53,2022-01-26 02:30:34
235,214,322,43,2021-06-13 19:37:47,2022-10-16 13:28:38
236,651,286,62,2021-12-11 10:43:19,2022-09-11 08:11:24
237,489,13,4,2021-05-13 22:56:06,2022-01-13 23:29:31
238,550,214,78,2021-06-24 13:11:33,2022-11-03 15:26:18
239,575,356,92,2021-01-24 13:32:09,2022-04-15 22:46:18
240,560,119,45,2021-10-19 05:12:22,2022-07-28 02:51:03
