"order_id";"user_id";"order_date";"status";"total_amount";"shipping_address";"created_at";"updated_at"
1;412;"2023-08-29";"delivered";8731.14;"67115 Mayer Avenue";"2021-03-21 14:42:02";"2022-02-11 09:27:17"
2;543;"2023-01-31";"delivered";5905.69;"8 Packers Crossing";"2021-11-13 12:22:55";"2022-10-18 18:46:55"
3;921;"2023-05-04";"shipped";7129.85;"64679 Randy Hill";"2021-08-14 15:17:36";"2022-11-10 17:34:54"
4;282;"2023-07-20";"pending";7985.99;"14 Dapin Alley";"2021-05-20 05:49:03";"2022-05-15 12:50:50"
5;202;"2023-01-22";"pending";2206.25;"3107 Anniversary Court";"2021-11-24 15:15:27";"2022-12-12 22:55:19"
6;500;"2023-04-02";"pending";1023.54;"9 Montana Place";"2021-03-13 11:00:43";"2022-04-02 12:23:05"
7;512;"2023-01-07";"pending";5073.82;"6 Northridge Circle";"2021-11-25 03:19:09";"2022-01-01 22:40:14"
8;859;"2023-07-01";"pending";1759.19;"20858 New Castle Way";"2021-01-12 18:40:58";"2022-06-17 20:32:30"
9;596;"2023-07-21";"delivered";8622.24;"40 Chive Park";"2021-03-23 03:03:05";"2022-02-03 04:36:46"
10;928;"2023-08-23";"shipped";3127.46;"9 Burrows Way";"2021-11-15 15:04:06";"2022-12-28 02:34:30"
11;78;"2023-07-26";"pending";7467.0;"06 Fair Oaks Road";"2021-12-16 01:56:25";"2022-09-24 09:40:31"
12;264;"2023-09-18";"delivered";781.26;"157 Roxbury Center";"2021-01-19 06:49:43";"2022-09-25 00:54:29"
13;67;"2023-07-03";"shipped";942.93;"9 Miller Parkway";"2021-01-01 21:50:07";"2022-07-14 04:15:26"
14;313;"2023-02-19";"processing";5762.22;"6728 Nevada Park";"2021-04-15 04:44:30";"2022-12-09 14:16:17"
15;287;"2023-08-29";"processing";5510.09;"07994 Florence Plaza";"2021-01-25 21:29:36";"2022-12-04 14:53:44"
16;921;"2023-04-17";"shipped";8204.07;"86 Colorado Hill";"2021-08-17 15:13:27";"2022-05-29 04:12:01"
17;560;"2023-04-08";"shipped";8775.09;"79 Fuller Terrace";"2021-01-29 12:28:56";"2022-05-10 12:47:19"
18;345;"2023-03-19";"delivered";204.98;"12974 Vernon Junction";"2021-09-04 08:42:52";"2022-05-20 14:45:12"
19;829;"2023-07-24";"delivered";4665.24;"17 Corscot Avenue";"2021-09-24 23:51:25";"2022-02-07 22:30:10"
20;147;"2023-01-05";"pending";2475.09;"0734 Anhalt Alley";"2021-03-23 11:33:35";"2022-03-07 18:11:42"
21;110;"2023-06-28";"shipped";3958.87;"705 Center Center";"2021-04-14 20:46:26";"2022-05-08 22:36:33"
22;377;"2023-03-24";"processing";9489.5;"3 Vera Hill";"2021-04-13 12:40:41";"2022-10-27 11:05:05"
23;111;"2023-07-23";"pending";1631.71;"127 Anhalt Center";"2021-10-14 17:36:10";"2022-04-06 15:39:50"
24;367;"2023-08-17";"delivered";4406.47;"78307 Londonderry Terrace";"2021-08-31 12:38:25";"2022-11-18 13:38:09"
25;626;"2023-10-31";"pending";2538.93;"759 Bashford Lane";"2021-04-13 05:06:08";"2022-11-22 14:48:25"
