order_id,user_id,order_date,status,total_amount,shipping_address,created_at,updated_at
2001,324,2023-11-16 21:19:58,delivered,3176.7,76 Commercial Plaza,2021-07-01 17:16:30,2022-06-21 14:13:16
2002,592,2023-08-29 04:40:51,delivered,2571.69,42 Scoville Pass,2021-08-31 09:28:56,2022-06-09 14:26:12
2003,212,2023-12-18 18:23:01,pending,6822.06,2359 Goodland Parkway,2021-04-02 19:00:29,2022-11-29 23:19:04
2004,833,2023-02-19 01:12:55,processing,1991.51,0188 Buena Vista Circle,2021-12-13 06:48:30,2022-10-14 00:25:34
2005,438,2023-10-15 18:21:54,shipped,8207.28,3 Karstens Terrace,2021-12-07 07:59:47,2022-04-25 23:53:25
2006,638,2023-11-15 05:30:38,pending,2816.44,50888 American Crossing,2021-04-07 00:14:35,2022-11-27 09:20:45
2007,62,2023-10-06 07:54:06,pending,6636.58,59132 Mosinee Drive,2021-04-23 06:33:51,2022-08-09 02:54:25
2008,561,2023-01-04 02:10:03,pending,389.96,7287 Golf Course Lane,2021-11-19 04:16:22,2022-04-20 14:17:47
2009,635,2023-10-17 21:06:48,delivered,547.0,910 Fordem Way,2021-03-12 15:15:17,2022-01-13 11:41:38
2010,267,2023-07-04 20:28:14,processing,6862.29,07433 Bobwhite Place,2021-08-16 18:55:57,2022-11-10 08:43:20
2011,298,2023-10-07 07:41:03,pending,3586.66,7769 Northview Center,2021-09-25 09:54:29,2022-04-26 20:25:45
2012,227,2023-01-25 05:19:49,shipped,3234.36,12379 Golf Park,2021-02-10 06:41:25,2022-01-14 14:17:37
2013,684,2023-12-30 19:26:41,processing,7230.46,638 Debra Drive,2021-05-27 23:41:55,2022-03-17 15:18:32
2014,187,2023-11-13 03:57:11,processing,1882.63,52 Artisan Circle,2021-11-12 20:56:09,2022-12-01 04:12:49
2015,756,2023-12-12 23:27:20,processing,3449.28,6 Arrowood Way,2021-07-27 11:06:37,2022-01-18 17:34:47
2016,181,2023-10-02 16:02:13,pending,8009.02,4 Dwight Point,2021-07-27 18:42:56,2022-02-01 18:52:51
2017,120,2023-10-20 00:55:20,delivered,239.8,96036 Fuller Avenue,2021-11-21 16:16:06,2022-08-08 23:22:40
2018,492,2023-10-27 16:25:06,delivered,5796.27,0 Magdeline Street,2021-11-09 15:44:35,2022-06-04 21:05:38
2019,800,2023-11-26 18:00:59,shipped,2282.57,034 Linden Park,2021-08-21 10:51:42,2022-06-25 12:31:52
2020,316,2023-05-30 07:15:48,shipped,4393.44,9 Corben Circle,2021-06-04 02:10:15,2022-10-01 18:38:31
2021,18,2023-07-16 13:02:49,delivered,8554.69,4945 Longview Hill,2021-07-13 17:01:19,2022-08-19 06:19:33
2022,324,2023-02-11 17:53:09,processing,5565.98,72 Lukken Street,2021-12-11 20:56:21,2022-05-23 06:16:02
